,image,class,predicted,epsilon,lower,upper
0,64,6,2,0.208984375,0.20703125,0.208984375
1,150,8,0,0.42578125,0.423828125,0.42578125
2,621,7,4,0.408203125,0.40625,0.408203125
3,698,7,4,0.2421875,0.240234375,0.2421875
4,997,1,0,0.314453125,0.3125,0.314453125
5,1535,4,2,0.1796875,0.177734375,0.1796875
6,1658,4,0,0.255859375,0.25390625,0.255859375
7,1724,4,2,0.43359375,0.431640625,0.43359375
8,1988,5,0,0.841796875,0.83984375,0.841796875
9,2018,3,2,0.197265625,0.1953125,0.197265625
10,2135,8,0,0.765625,0.763671875,0.765625
11,2194,8,0,0.513671875,0.51171875,0.513671875
12,2370,0,8,0.474609375,0.47265625,0.474609375
13,2793,9,0,0.40625,0.404296875,0.40625
14,3000,5,0,0.775390625,0.7734375,0.775390625
15,3017,5,0,0.68359375,0.681640625,0.68359375
16,3130,3,0,0.42578125,0.423828125,0.42578125
17,3141,9,0,0.30078125,0.298828125,0.30078125
18,3328,2,0,0.794921875,0.79296875,0.794921875
19,3634,3,0,0.376953125,0.375,0.376953125
20,3829,8,0,0.375,0.373046875,0.375
21,4076,7,2,0.45703125,0.455078125,0.45703125
22,4131,1,6,0.01171875,0.009765625,0.01171875
23,4714,6,2,0.533203125,0.53125,0.533203125
24,4770,9,6,0.287109375,0.28515625,0.287109375
25,4905,7,0,0.55078125,0.548828125,0.55078125
26,4937,0,8,0.119140625,0.1171875,0.119140625
27,5435,7,2,0.16015625,0.158203125,0.16015625
28,5526,8,0,0.77734375,0.775390625,0.77734375
29,5714,2,0,0.73828125,0.736328125,0.73828125
30,5785,2,0,0.52734375,0.525390625,0.52734375
31,5947,5,0,0.744140625,0.7421875,0.744140625
32,6046,2,0,0.7890625,0.787109375,0.7890625
33,6372,1,8,0.244140625,0.2421875,0.244140625
34,6487,6,8,0.634765625,0.6328125,0.634765625
35,6544,0,8,0.06640625,0.064453125,0.06640625
36,7113,9,7,0.263671875,0.26171875,0.263671875
37,7581,9,4,0.17578125,0.173828125,0.17578125
38,7629,6,3,0.4921875,0.490234375,0.4921875
39,7718,0,8,0.462890625,0.4609375,0.462890625
40,8039,1,0,0.392578125,0.390625,0.392578125
41,8059,3,5,0.166015625,0.1640625,0.166015625
42,8190,4,5,0.021484375,0.01953125,0.021484375
43,8343,3,0,0.55859375,0.556640625,0.55859375
44,8588,6,2,0.06640625,0.064453125,0.06640625
45,8829,0,8,0.1953125,0.193359375,0.1953125
46,8988,2,0,0.529296875,0.52734375,0.529296875
47,9155,5,2,0.67578125,0.673828125,0.67578125
48,9941,1,8,0.4296875,0.427734375,0.4296875
49,9981,4,2,0.572265625,0.5703125,0.572265625
