,image,class,predicted,epsilon,lower,upper,time
0,64,6,2,0.0078125,0.005859375,0.0078125,63322
1,150,8,4,0.0078125,0.005859375,0.0078125,73157
2,621,7,4,0.009765625,0.0078125,0.009765625,77435
3,698,7,4,0.005859375,0.00390625,0.005859375,76701
4,997,1,0,0.021484375,0.01953125,0.021484375,94006
5,1535,4,2,0.00390625,0.001953125,0.00390625,62053
6,1658,4,0,0.005859375,0.00390625,0.005859375,38134
7,1724,4,2,0.01171875,0.009765625,0.01171875,109173
8,1988,5,3,0.009765625,0.0078125,0.009765625,76504
9,2018,3,6,0.001953125,0.0,0.001953125,51183
10,2135,8,9,0.02734375,0.025390625,0.02734375,1275896
11,2194,8,9,0.017578125,0.015625,0.017578125,185129
12,2370,0,7,0.013671875,0.01171875,0.013671875,69796
13,2793,9,3,0.017578125,0.015625,0.017578125,54971
14,3000,5,2,0.021484375,0.01953125,0.021484375,102431
15,3017,5,7,0.017578125,0.015625,0.017578125,114082
16,3130,3,1,0.013671875,0.01171875,0.013671875,47524
17,3141,9,2,0.015625,0.013671875,0.015625,70673
18,3328,2,6,0.0078125,0.005859375,0.0078125,60210
19,3634,3,5,0.001953125,0.0,0.001953125,37046
20,3829,8,0,0.005859375,0.00390625,0.005859375,29199
21,4076,7,5,0.00390625,0.001953125,0.00390625,52355
22,4131,1,6,0.001953125,0.0,0.001953125,43382
23,4714,6,5,0.0078125,0.005859375,0.0078125,61152
24,4770,9,6,0.015625,0.013671875,0.015625,75322
25,4905,7,9,0.01953125,0.017578125,0.01953125,222894
26,4937,0,8,0.005859375,0.00390625,0.005859375,51600
27,5435,7,0,0.005859375,0.00390625,0.005859375,31079
28,5526,8,0,0.01171875,0.009765625,0.01171875,46429
29,5714,2,4,0.0078125,0.005859375,0.0078125,60834
30,5785,2,4,0.001953125,0.0,0.001953125,30343
31,5947,5,3,0.03125,0.029296875,0.03125,144524
32,6046,2,7,0.0078125,0.005859375,0.0078125,49536
33,6372,1,3,0.005859375,0.00390625,0.005859375,33567
34,6487,6,4,0.013671875,0.01171875,0.013671875,83145
35,6544,0,8,0.001953125,0.0,0.001953125,86688
36,7113,9,7,0.0078125,0.005859375,0.0078125,60957
37,7581,9,4,0.00390625,0.001953125,0.00390625,41962
38,7629,6,3,0.005859375,0.00390625,0.005859375,45333
39,7718,0,8,0.015625,0.013671875,0.015625,85138
40,8039,1,9,0.0078125,0.005859375,0.0078125,109601
41,8059,3,5,0.001953125,0.0,0.001953125,91338
42,8190,4,5,0.001953125,0.0,0.001953125,43270
43,8343,3,1,0.015625,0.013671875,0.015625,71366
44,8588,6,2,0.001953125,0.0,0.001953125,34832
45,8829,0,8,0.00390625,0.001953125,0.00390625,46676
46,8988,2,5,0.01171875,0.009765625,0.01171875,50756
47,9155,5,6,0.009765625,0.0078125,0.009765625,88178
48,9941,1,9,0.021484375,0.01953125,0.021484375,314044
49,9981,4,7,0.001953125,0.0,0.001953125,86619
