,image,class,predicted,epsilon,lower,upper,time
0,64,6,2,0.005859375,0.00390625,0.005859375,57829
1,150,8,9,0.00390625,0.001953125,0.00390625,94048
2,621,7,2,0.009765625,0.0078125,0.009765625,63855
3,698,7,4,0.01171875,0.009765625,0.01171875,104446
4,997,1,8,0.0078125,0.005859375,0.0078125,68906
5,1535,4,7,0.005859375,0.00390625,0.005859375,65181
6,1658,4,1,0.01171875,0.009765625,0.01171875,82296
7,1724,4,2,0.00390625,0.001953125,0.00390625,394178
8,1988,5,3,0.0234375,0.021484375,0.0234375,107384
9,2018,3,6,0.00390625,0.001953125,0.00390625,59049
10,2135,8,9,0.0234375,0.021484375,0.0234375,187794
11,2194,8,9,0.0078125,0.005859375,0.0078125,66348
12,2370,0,2,0.0078125,0.005859375,0.0078125,54377
13,2793,9,1,0.013671875,0.01171875,0.013671875,56023
14,3000,5,7,0.025390625,0.0234375,0.025390625,141514
15,3017,5,7,0.00390625,0.001953125,0.00390625,60366
16,3130,3,8,0.001953125,0.0,0.001953125,57300
17,3141,9,7,0.005859375,0.00390625,0.005859375,83612
18,3328,2,5,0.013671875,0.01171875,0.013671875,75311
19,3634,3,7,0.00390625,0.001953125,0.00390625,67989
20,3829,8,0,0.00390625,0.001953125,0.00390625,28264
21,4076,7,5,0.005859375,0.00390625,0.005859375,59709
22,4131,1,6,0.009765625,0.0078125,0.009765625,59859
23,4714,6,3,0.015625,0.013671875,0.015625,81673
24,4770,9,3,0.0078125,0.005859375,0.0078125,49647
25,4905,7,9,0.025390625,0.0234375,0.025390625,231330
26,4937,0,1,0.001953125,0.0,0.001953125,19554
27,5435,7,4,0.001953125,0.0,0.001953125,34935
28,5526,8,9,0.015625,0.013671875,0.015625,94927
29,5714,2,4,0.00390625,0.001953125,0.00390625,45966
30,5785,2,4,0.00390625,0.001953125,0.00390625,39950
31,5947,5,7,0.0234375,0.021484375,0.0234375,90709
32,6046,2,5,0.009765625,0.0078125,0.009765625,56564
33,6372,1,8,0.01171875,0.009765625,0.01171875,78734
34,6487,6,4,0.009765625,0.0078125,0.009765625,69749
35,6544,0,8,0.005859375,0.00390625,0.005859375,60682
36,7113,9,7,0.0078125,0.005859375,0.0078125,57114
37,7581,9,1,0.005859375,0.00390625,0.005859375,33155
38,7629,6,3,0.01171875,0.009765625,0.01171875,61155
39,7718,0,8,0.01171875,0.009765625,0.01171875,66714
40,8039,1,9,0.0078125,0.005859375,0.0078125,89973
41,8059,3,2,0.001953125,0.0,0.001953125,147498
42,8190,4,2,0.001953125,0.0,0.001953125,52904
43,8343,3,6,0.005859375,0.00390625,0.005859375,71396
44,8588,6,2,0.005859375,0.00390625,0.005859375,50595
45,8829,0,8,0.005859375,0.00390625,0.005859375,51779
46,8988,2,6,0.013671875,0.01171875,0.013671875,65892
47,9155,5,3,0.013671875,0.01171875,0.013671875,85791
48,9941,1,9,0.01171875,0.009765625,0.01171875,85100
49,9981,4,7,0.005859375,0.00390625,0.005859375,255015
