,image,class,predicted,epsilon,lower,upper,time
0,19,0,0,1.0,0.998046875,1.0,2262831
1,101,1,0,0.46875,0.466796875,0.46875,1730837
2,163,4,1,0.03515625,0.033203125,0.03515625,998787
3,350,4,1,0.337890625,0.3359375,0.337890625,1325341
4,453,2,0,0.44921875,0.447265625,0.44921875,1298129
5,507,0,0,1.0,0.998046875,1.0,1355669
6,930,1,0,0.79296875,0.791015625,0.79296875,1324121
7,1041,6,3,0.177734375,0.17578125,0.177734375,1706822
8,1298,3,0,0.423828125,0.421875,0.423828125,1183128
9,1317,2,1,0.474609375,0.47265625,0.474609375,746223
10,1773,4,1,0.1953125,0.193359375,0.1953125,1292205
11,1810,4,3,0.099609375,0.09765625,0.099609375,1331033
12,1879,1,0,0.30859375,0.306640625,0.30859375,1249813
13,2126,5,4,0.490234375,0.48828125,0.490234375,1907016
14,2279,2,1,0.5703125,0.568359375,0.5703125,1087409
15,2330,6,3,0.07421875,0.072265625,0.07421875,1464486
16,2460,1,0,0.77734375,0.775390625,0.77734375,1262168
17,2773,0,0,1.0,0.998046875,1.0,1964272
18,2814,4,3,0.12109375,0.119140625,0.12109375,1481282
19,2908,6,3,0.115234375,0.11328125,0.115234375,1652687
20,2937,0,0,1.0,0.998046875,1.0,1839639
21,3309,5,4,0.505859375,0.50390625,0.505859375,1437420
22,3339,3,0,0.541015625,0.5390625,0.541015625,893344
23,3470,5,6,0.208984375,0.20703125,0.208984375,1835251
24,3538,3,0,0.611328125,0.609375,0.611328125,1079507
25,3560,5,0,0.46875,0.466796875,0.46875,1710470
26,3609,1,0,0.837890625,0.8359375,0.837890625,1209653
27,3700,3,0,0.58203125,0.580078125,0.58203125,1074227
28,3750,3,0,0.525390625,0.5234375,0.525390625,896182
29,3798,2,4,0.095703125,0.09375,0.095703125,1410828
30,3828,0,0,1.0,0.998046875,1.0,2014033
31,3875,6,3,0.15234375,0.150390625,0.15234375,1643612
32,3942,6,3,0.109375,0.107421875,0.109375,1625378
33,3948,2,1,0.353515625,0.3515625,0.353515625,1265354
34,3984,5,6,0.234375,0.232421875,0.234375,2014472
