,image,class,predicted,epsilon,lower,upper,time
0,19,0,1,0.00390625,0.001953125,0.00390625,40739
1,101,1,0,0.001953125,0.0,0.001953125,32482
2,163,4,1,0.001953125,0.0,0.001953125,36293
3,350,4,1,0.00390625,0.001953125,0.00390625,43105
4,453,2,0,0.005859375,0.00390625,0.005859375,43273
5,507,0,2,0.009765625,0.0078125,0.009765625,34350
6,930,1,0,0.0078125,0.005859375,0.0078125,50193
7,1041,6,3,0.00390625,0.001953125,0.00390625,52884
8,1298,3,6,0.001953125,0.0,0.001953125,45470
9,1317,2,4,0.0078125,0.005859375,0.0078125,52626
10,1773,4,1,0.001953125,0.0,0.001953125,42271
11,1810,4,0,0.001953125,0.0,0.001953125,36551
12,1879,1,0,0.001953125,0.0,0.001953125,34707
13,2126,5,4,0.0078125,0.005859375,0.0078125,55013
14,2279,2,4,0.0078125,0.005859375,0.0078125,59229
15,2330,6,3,0.001953125,0.0,0.001953125,51871
16,2460,1,0,0.0078125,0.005859375,0.0078125,58497
17,2773,0,3,0.0078125,0.005859375,0.0078125,64303
18,2814,4,0,0.001953125,0.0,0.001953125,47169
19,2908,6,3,0.001953125,0.0,0.001953125,58783
20,2937,0,3,0.01953125,0.017578125,0.01953125,62415
21,3309,5,6,0.005859375,0.00390625,0.005859375,102485
22,3339,3,6,0.00390625,0.001953125,0.00390625,75299
23,3470,5,6,0.001953125,0.0,0.001953125,63092
24,3538,3,6,0.00390625,0.001953125,0.00390625,64778
25,3560,5,6,0.00390625,0.001953125,0.00390625,68616
26,3609,1,0,0.01171875,0.009765625,0.01171875,53605
27,3700,3,6,0.00390625,0.001953125,0.00390625,68479
28,3750,3,0,0.005859375,0.00390625,0.005859375,49151
29,3798,2,4,0.001953125,0.0,0.001953125,68512
30,3828,0,3,0.001953125,0.0,0.001953125,54738
31,3875,6,0,0.00390625,0.001953125,0.00390625,70630
32,3942,6,4,0.001953125,0.0,0.001953125,63909
33,3948,2,4,0.00390625,0.001953125,0.00390625,60661
34,3984,5,6,0.001953125,0.0,0.001953125,76748
