,image,class,predicted,epsilon,lower,upper,time
0,19,0,1,0.00390625,0.001953125,0.00390625,39918
1,101,1,0,0.005859375,0.00390625,0.005859375,39647
2,163,4,0,0.005859375,0.00390625,0.005859375,59203
3,350,4,1,0.001953125,0.0,0.001953125,44682
4,453,2,4,0.005859375,0.00390625,0.005859375,74679
5,507,0,1,0.013671875,0.01171875,0.013671875,58675
6,930,1,0,0.009765625,0.0078125,0.009765625,55888
7,1041,6,3,0.00390625,0.001953125,0.00390625,68805
8,1298,3,0,0.001953125,0.0,0.001953125,35453
9,1317,2,4,0.0078125,0.005859375,0.0078125,71627
10,1773,4,1,0.001953125,0.0,0.001953125,47921
11,1810,4,1,0.001953125,0.0,0.001953125,42473
12,1879,1,2,0.00390625,0.001953125,0.00390625,48902
13,2126,5,6,0.0078125,0.005859375,0.0078125,101085
14,2279,2,4,0.0078125,0.005859375,0.0078125,75232
15,2330,6,4,0.001953125,0.0,0.001953125,64112
16,2460,1,4,0.009765625,0.0078125,0.009765625,57653
17,2773,0,3,0.0078125,0.005859375,0.0078125,63733
18,2814,4,1,0.001953125,0.0,0.001953125,46250
19,2908,6,5,0.001953125,0.0,0.001953125,73925
20,2937,0,3,0.021484375,0.01953125,0.021484375,78202
21,3309,5,6,0.009765625,0.0078125,0.009765625,77926
22,3339,3,0,0.00390625,0.001953125,0.00390625,47322
23,3470,5,6,0.00390625,0.001953125,0.00390625,66817
24,3538,3,6,0.00390625,0.001953125,0.00390625,59162
25,3560,5,6,0.005859375,0.00390625,0.005859375,76674
26,3609,1,0,0.0234375,0.021484375,0.0234375,74739
27,3700,3,6,0.00390625,0.001953125,0.00390625,67208
28,3750,3,6,0.00390625,0.001953125,0.00390625,57196
29,3798,2,4,0.001953125,0.0,0.001953125,52646
30,3828,0,3,0.001953125,0.0,0.001953125,33726
31,3875,6,5,0.00390625,0.001953125,0.00390625,59062
32,3942,6,4,0.001953125,0.0,0.001953125,57395
33,3948,2,1,0.00390625,0.001953125,0.00390625,48419
34,3984,5,6,0.00390625,0.001953125,0.00390625,70428
